BJD	RV	RVerr	RHK	RHKerr	S	Serr	BIS	BISerr	FWHM	FWHMerr	Constrast	Contrasterr
5.733108022004469967e+04	-1.604000000000000270e+01	1.116514916278937286e-01	-4.967200000000000948e+00	6.548960901462834222e-04	1.651896666666666791e-01	1.148927035687355224e-04	-8.916788038677486838e+01	2.233029832557874572e-01	7.785985000000000582e+03	2.233029832557874572e-01	6.004282100000000355e+01	1.743301923069311360e-03
5.733190081348155945e+04	-1.597466666666666413e+01	1.185422333132003930e-01	-4.974266666666666836e+00	7.505553499465134710e-04	1.639790000000000136e-01	1.245172901871686067e-04	-8.858704558303774945e+01	2.370844666264003697e-01	7.786645666666666330e+03	2.370844666264003697e-01	6.005732733333332618e+01	1.851158556186412348e-03
5.733299463094609382e+04	-1.717166666666666686e+01	1.110831919683754471e-01	-4.971333333333333826e+00	6.548960901462834222e-04	1.644750000000000101e-01	1.137380030303562810e-04	-8.715325625752048211e+01	2.221663839367512827e-01	7.786014000000000124e+03	2.221663839367512827e-01	6.005261566666666795e+01	1.734659376793948847e-03
5.733413437831557530e+04	-1.671133333333333226e+01	1.138956559682004349e-01	-4.968533333333333246e+00	6.928203230275508046e-04	1.649646666666666761e-01	1.185495676921683182e-04	-8.943824057444963671e+01	2.277913119364010364e-01	7.781747333333332790e+03	2.277913119364010364e-01	6.008659166666666351e+01	1.780556802470546372e-03
5.733511646611768083e+04	-1.633433333333333337e+01	1.134520989765763904e-01	-4.970933333333333870e+00	6.928203230275508046e-04	1.645446666666666724e-01	1.179722189519398864e-04	-9.031154403457931323e+01	2.269041979531527808e-01	7.781791666666666970e+03	2.269041979531527808e-01	6.009379066666667057e+01	1.773802398075992196e-03
5.734500441738426161e+04	-1.352699999999999925e+01	1.129452465782824211e-01	-4.961066666666667402e+00	6.928203230275508046e-04	1.662580000000000169e-01	1.170099710850888778e-04	-8.622421629374520080e+01	2.258904931565652030e-01	7.787029999999999745e+03	2.258904931565652030e-01	6.001506200000000035e+01	1.762159537963616266e-03
5.734711009733768879e+04	-1.553133333333333432e+01	1.144770499160505522e-01	-4.960399999999999920e+00	6.928203230275508046e-04	1.663800000000000001e-01	1.197042652168714996e-04	-8.630945847582613339e+01	2.289540998321012710e-01	7.786311333333334005e+03	2.289540998321012710e-01	6.001553066666665615e+01	1.786210375660804645e-03
5.734800965106637886e+04	-1.583866666666666667e+01	1.129155124678236782e-01	-4.961199999999999832e+00	6.928203230275508046e-04	1.662403333333333511e-01	1.172021046454940323e-04	-8.567939935463977008e+01	2.258310249356473565e-01	7.786790666666666766e+03	2.258310249356473565e-01	6.002311733333333876e+01	1.761945748246613978e-03
5.735006629320850334e+04	-1.652800000000000225e+01	1.124882548560590112e-01	-4.964933333333333643e+00	6.928203230275508046e-04	1.655836666666666568e-01	1.166247543763043981e-04	-8.736981958696463835e+01	2.249765097121185498e-01	7.784355999999999767e+03	2.249765097121185498e-01	6.005893633333332815e+01	1.756865180798277207e-03
5.735109209662652574e+04	-1.645766666666666822e+01	1.165675608604509333e-01	-4.969199999999999839e+00	7.318166133366715322e-04	1.648536666666666761e-01	1.220883104787495765e-04	-8.844955481012380005e+01	2.331351217209022553e-01	7.784142333333333227e+03	2.331351217209022553e-01	6.006944833333332667e+01	1.820960765034266996e-03
